Run,Seed,Mission Incentive Weight,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
21,6,0,mission-aligned,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,3187.3243015751677,2.842170943040401e-14,0.4290271839916333,0.3659574468085107,45.379263460632586,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,7,3,5,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,4.547473508864641e-13,True,True
22,6,0.1,mission-aligned,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,3506.0567317326854,318.73243015751706,0.4290271839916333,0.3659574468085107,45.37926346063257,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,7,3,5,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,0,True,True
23,6,0.25,mission-aligned,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,3984.1553769689604,796.8310753937922,0.4290271839916333,0.3659574468085107,45.37926346063257,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,7,3,5,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,4.547473508864641e-13,True,True
24,6,0.5,mission-aligned,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,4780.986452362753,1593.6621507875839,0.4290271839916333,0.3659574468085107,45.37926346063258,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,6,4,5,59,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,9.094947017729282e-13,True,True
25,7,0,mission-aligned,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,3526.3109936647124,0,0.3518560336233172,0.24397163120567367,41.02781909013093,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,4,5,34,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,0,True,True
26,7,0.1,mission-aligned,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,3878.9420930311844,352.6310993664715,0.3518560336233172,0.24397163120567367,41.02781909013094,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,4,5,34,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
27,7,0.25,mission-aligned,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,4407.8887420808915,881.5777484161779,0.35185603362331785,0.24397163120567367,41.02781909013092,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,3,6,33,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,0,True,True
28,7,0.5,mission-aligned,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,5289.46649049707,1763.1554968323562,0.3518560336233174,0.24397163120567367,41.027819090130926,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,3,6,33,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
29,8,0,mission-aligned,254,29,1,96.66666666666667,100,60.053825451749326,16,14,14,1498,134,569,33,69,4,587,18,14,77.77777777777777,3.0664395229982966,3,52.214285714285715,3520.9128596710057,3520.9128596710057,2.842170943040401e-14,0.3439358007590736,0.318840579710145,40.44367510270896,6,0.8,0.05714285714285714,7,441,393,95.33333333333333,0.10884353741496598,0.5040058552277561,7,1,7,48,87.24137931034483,1.1397864166238125,607.0988068627653,1665.376853193872,1,0,0,0,True,0,0,True,True
30,8,0.1,mission-aligned,249,27,3,90,96.42857142857143,57.70857362552864,16,14,12,2164,211,568,30,60,3,583,15,12,80,2.5728987993138936,3,55.833333333333336,3194.1004669257572,3513.510513618334,319.41004669257586,0.41215867412785534,0.451111111111111,44.58177106073913,8,1.0666666666666667,0.0761904761904762,6,398,357,86.44444444444444,0.10301507537688442,0.50488091694324,5,4,6,47,116.5925925925926,0.8629811505980225,594.2401310414862,1678.2355290151515,2,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
