Run,Seed,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
21,6,leader-priority,222,29,1,96.66666666666667,96.66666666666667,56.901191849288736,20,10,9,398,58,98,31,53,2,109,11,9,81.81818181818181,10.091743119266056,3,19.11111111111111,3288.296459457843,3288.296459457843,0,0.3698223183882421,0.3094339622641509,41.322983091284776,6,0.8,0.05714285714285714,4,396,389,93.55555555555556,0.017676767676767676,0.5057587841604649,7,3,5,53,31.20689655172414,2.2843653181212336,541.4792432596938,1629.2496511547897,0,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
22,6,equal-share,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,3187.3243015751677,0,0.4290271839916333,0.3659574468085107,45.379263460632586,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,7,3,5,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,4.547473508864641e-13,True,True
23,6,contribution-based,252,29,1,96.66666666666667,96.66666666666667,63.01422529796232,20,10,9,915,80,261,31,52,2,272,11,9,81.81818181818181,4.044117647058823,2.888888888888889,34.55555555555556,3322.035812852788,3322.0358128527873,0,0.24398388950501526,0.23076923076923084,32.8755813511946,8,1.0666666666666667,0.0761904761904762,6,438,416,100,0.0502283105022831,0.5042993605609583,5,3,7,40,56.10344827586207,1.4942545059826204,618.206153672075,1552.5227407424095,0,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
24,6,mission-aligned,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,135,204,29,47,1,213,9,8,88.88888888888889,4.225352112676056,3,25.25,3187.3243015751677,3984.1553769689604,796.8310753937922,0.4290271839916333,0.3659574468085107,45.37926346063257,18,2.4,0.17142857142857143,3,419,404,96.66666666666667,0.03579952267303103,0.5059099266553126,7,3,5,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,4.547473508864641e-13,True,True
25,7,leader-priority,328,29,1,96.66666666666667,96.66666666666667,74.89427143406382,20,10,9,1456,127,290,30,48,1,300,10,9,90,3.3333333333333335,2.7777777777777777,23.22222222222222,3323.9748473727304,3323.9748473727304,0,0.2751186263049734,0.22777777777777786,33.869526570136955,8,1.0666666666666667,0.0761904761904762,3,450,420,100,0.06666666666666667,0.5035270310288616,5,3,7,62,76.10344827586206,1.1180529197859335,796.0031455122456,1468.511208018499,0,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
26,7,equal-share,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,3526.3109936647124,0,0.3518560336233172,0.24397163120567367,41.02781909013093,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,4,5,34,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,0,True,True
27,7,contribution-based,328,25,5,83.33333333333333,96.15384615384616,71.51095732410612,20,10,8,1812,139,284,26,42,1,293,9,8,88.88888888888889,3.0716723549488054,2.75,18.125,2872.13472178739,2872.13472178739,0,0.33889525436731294,0.3206349206349206,38.950129859335526,8,1.0666666666666667,0.0761904761904762,6,384,362,86.66666666666667,0.057291666666666664,0.5032978860338253,7,3,5,88,99.6,0.8812309405564235,791.2304577661306,1473.2838957646125,4,1,0,0,True,0,4.547473508864641e-13,True,True
28,7,mission-aligned,195,30,0,100,100,54.248366013071895,20,10,10,447,41,180,30,47,0,190,10,10,100,5.2631578947368425,2.7,18.5,3526.3109936647124,4407.8887420808915,881.5777484161779,0.35185603362331785,0.24397163120567367,41.02781909013092,6,0.8,0.05714285714285714,9,418,396,94.88888888888889,0.05263157894736842,0.5087657808108123,6,3,6,33,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,0,True,True
29,8,leader-priority,278,25,5,83.33333333333333,86.20689655172414,62.47597078046905,16,14,9,2213,195,934,32,62,7,950,16,9,56.25,1.6842105263157894,2.888888888888889,76.2,2870.3190203398503,2870.3190203398503,0,0.42006107041350393,0.33333333333333326,39.8418736776894,13,1.7333333333333334,0.12380952380952381,4,433,401,96.66666666666667,0.07390300230946882,0.4978649353397626,5,7,3,65,144.12,0.6801263424247851,649.2732658561569,1623.2023942004805,1,3,0,1,True,2.2737367544323206e-13,4.547473508864641e-13,True,True
30,8,equal-share,254,29,1,96.66666666666667,100,60.053825451749326,16,14,14,1498,134,569,33,69,4,587,18,14,77.77777777777777,3.0664395229982966,3,52.214285714285715,3520.9128596710057,3520.9128596710057,0,0.3439358007590736,0.318840579710145,40.44367510270896,6,0.8,0.05714285714285714,7,441,393,95.33333333333333,0.10884353741496598,0.5040058552277561,7,1,7,48,87.24137931034483,1.1397864166238125,607.0988068627653,1665.376853193872,1,0,0,0,True,0,0,True,True
