Experiment,Experiment Name,Condition,Run,Seed,Factor 1,Factor 1 Level,Factor 2,Factor 2 Level,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Unresolved Auction Rounds,Contracts Awarded,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Information Coverage (%),Mean Reputation,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
BS01,Baseline Replication,Baseline,28,28,,,,,242,27,3,90.0,93.10344827586206,56.55517108804306,18,12,10,1019,275,34,7,292,17,58.8235294117647,5.821917808219178,55.5,3221.592968255679,3221.592968255679,0,0.32968579940660003,0.2235897435897436,40.434982998666825,91.33333333333333,0.5005257875326802,51,65.55555555555556,1.4246170376812821,563.3747295197096,1711.4720919226409,1,2,0,0,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
BS01,Baseline Replication,Baseline,29,29,,,,,238,28,2,93.33333333333333,100.0,55.97846981930027,17,13,12,447,182,30,2,196,14,85.71428571428571,7.142857142857143,24.75,3240.2849051717917,3240.2849051717917,0,0.2929773772405966,0.1918128654970761,38.056540767924524,93.33333333333333,0.505949231362185,54,38.357142857142854,2.016122577777356,574.1864582479877,1699.0040773039582,2,0,0,0,True,6.821210263296962e-13,0.0,True,True
BS01,Baseline Replication,Baseline,30,30,,,,,288,30,0,100.0,100.0,66.01307189542484,14,16,16,576,256,33,3,275,19,84.21052631578948,6.909090909090909,26.1875,3722.82563189788,3722.82563189788,0,0.288620181214309,0.1937500000000001,34.568391503276686,96.88888888888889,0.5056576008329173,52,43.53333333333333,1.9250656975553213,674.8693929384174,1656.5508992919083,0,0,0,0,True,1.8189894035458565e-12,9.094947017729282e-13,True,True
BS02,Reward Regime Comparison,leader-priority,1,1,Reward Regime,leader-priority,,,194,30,0,100.0,100.0,53.133410226835835,19,11,11,455,220,32,2,233,13,84.61538461538461,5.579399141630901,26.818181818181817,3583.871441816006,3583.871441816006,0.0,0.3557531557427793,0.1880952380952381,40.17687138361949,95.77777777777777,0.5077342779725668,28,37.166666666666664,2.2964939009618197,470.58391459912235,1720.8001438126455,0,0,0,0,True,2.2737367544323206e-13,0.0,True,True
BS02,Reward Regime Comparison,equal-share,2,1,Reward Regime,equal-share,,,184,29,1,96.66666666666667,96.66666666666667,47.82775855440215,19,11,11,437,180,31,2,193,13,84.61538461538461,6.7357512953367875,32.09090909090909,3486.9846847541526,3486.9846847541526,0.0,0.1918041592610249,0.15802469135802477,31.060903255944606,97.33333333333333,0.5068936710823737,39,38.310344827586206,2.344581085056804,448.25275785020267,1743.1313005615657,0,1,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,contribution-based,3,1,Reward Regime,contribution-based,,,243,29,1,96.66666666666667,96.66666666666667,62.39907727797001,19,11,10,301,128,29,0,138,10,100.0,7.246376811594203,9.5,3446.5166204482484,3446.5166204482484,0.0,0.27083401697468634,0.24057971014492763,38.42560193284107,99.33333333333333,0.5073756800224551,39,30.586206896551722,2.3695602530713167,600.4962998856136,1590.8877585261555,0,1,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,mission-aligned,4,1,Reward Regime,mission-aligned,,,182,29,1,96.66666666666667,100.0,47.558631295655516,19,11,11,463,185,31,2,198,13,84.61538461538461,6.565656565656566,32.54545454545455,3486.9846847541526,4358.730855942691,871.7461711885381,0.2203021934762599,0.19393939393939386,33.17373227285963,96.66666666666667,0.5073237930580566,30,39.310344827586206,2.31151702117465,440.52650134592665,1750.8575570658415,1,0,0,0,True,1.3642420526593924e-12,0.0,True,True
BS02,Reward Regime Comparison,leader-priority,5,2,Reward Regime,leader-priority,,,219,28,2,93.33333333333333,93.33333333333333,55.36332179930796,16,14,12,544,307,30,2,320,13,92.3076923076923,4.0625,29.083333333333332,3522.8938407211363,3522.8938407211363,0.0,0.27772801100478506,0.196078431372549,37.56746168813513,89.55555555555556,0.5067378846002912,39,44.67857142857143,2.00894943010679,516.6000597754564,1807.8392152340848,0,2,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,equal-share,6,2,Reward Regime,equal-share,,,279,29,1,96.66666666666667,100.0,64.78277585544022,16,14,13,1086,254,33,4,271,17,76.47058823529412,6.273062730627307,37.46153846153846,3666.2559839416103,3666.2559839416103,0.0,0.16999843803734738,0.15268817204301066,27.968219719044807,96.66666666666667,0.5023063808919619,43,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,contribution-based,7,2,Reward Regime,contribution-based,,,226,30,0,100.0,100.0,57.24721261053441,16,14,14,413,166,32,2,182,16,87.5,8.791208791208792,18.214285714285715,3815.4808978930787,3815.4808978930787,0.0,0.245351787173945,0.2155555555555555,32.94595081943184,95.55555555555556,0.5074219640561555,52,33.766666666666666,2.5032022855163762,530.2399385657309,1794.1993364438101,0,0,0,0,True,1.5916157281026244e-12,4.547473508864641e-13,True,True
