"BehaviorSpace results (NetLogo 7.0.4)","Spreadsheet version 2.0"
"MOSAIC_v0_3_integrated_final_Subm_ready.nlogo.nlogox"
"BS01_Baseline_Replication_30_Seeds"
"07/20/2026 19:48:48:647 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"risk-penalty-weight","0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",,"0.35",
"deadline-urgency-weight","0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",
"coalition-task-proportion","0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",
"minimum-coalition-contribution","0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",,"0.15",
"maximum-coalition-size","3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",
"coalition-reward-multiplier","1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",,"1.5",
"coalition-wait-limit","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"leader-reward-share","0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",,"0.7",
"mission-incentive-weight","0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",
"reward-regime","equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",,"equal-share",
"reputation-enabled?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"reputation-weight","0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",
"reputation-learning-rate","0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",
"completion-reputation-reward","0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",
"contract-failure-reputation-penalty","0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",
"reputation-decay-rate","0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",
"adaptive-strategies?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
